Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
122,Cernavoda-1,44.322000,28.061000,Romania,RO,Operational,PHWR,CANDU 6,03-31-83,12-02-96,,650,1/6/21 3:19,WNA/IAEA,442
123,Cernavoda-2,44.322000,28.061000,Romania,RO,Operational,PHWR,CANDU 6,07-01-83,11-01-07,,650,6/2/19 23:18,WNA/IAEA,443
124,Cernavoda-3,44.322000,28.061000,Romania,RO,Suspended Construction,PHWR,,02-09-84,,,655,2/14/21 2:58,WNA/IAEA/Wikipedia,
125,Changjiang-1,19.460750,108.899917,China,CN,Operational,PWR,CNP-600,04-25-10,12-25-15,,601,4/20/21 6:20,WNA/IAEA/Wikipedia,939
126,Changjiang-2,19.460750,108.899917,China,CN,Operational,PWR,CNP-600,11-21-10,08-12-16,,601,4/20/21 6:20,WNA/IAEA/Wikipedia,940
127,Chapelcross-1,55.014000,-3.223000,United Kingdom,GB,Shutdown,GCR,MAGNOX,10-01-55,03-01-59,06-29-04,35,5/24/15 7:51,WNA/IAEA,252
128,Chapelcross-2,55.014000,-3.223000,United Kingdom,GB,Shutdown,GCR,MAGNOX,10-01-55,08-01-59,06-29-04,35,5/24/15 7:51,WNA/IAEA,253
129,Chapelcross-3,55.014000,-3.223000,United Kingdom,GB,Shutdown,GCR,MAGNOX,10-01-55,12-01-59,06-29-04,35,5/24/15 7:51,WNA/IAEA,254
130,Chapelcross-4,55.014000,-3.223000,United Kingdom,GB,Shutdown,GCR,MAGNOX,10-01-55,03-01-60,06-29-04,35,5/24/15 7:51,WNA/IAEA,255
131,CHASNUPP-1,32.392000,71.463000,Pakistan,PK,Operational,PWR,CNP-300,08-01-93,09-15-00,,300,06-07-21,WNA/IAEA,428
132,CHASNUPP-2,32.392000,71.463000,Pakistan,PK,Operational,PWR,CNP-300,12-28-05,05-18-11,,300,06-07-21,WNA/IAEA,429
133,CHASNUPP-3,32.392000,71.465000,Pakistan,PK,Operational,PWR,CNP-300,05-28-11,12-06-16,,315,06-07-21,WNA/IAEA,1044
134,CHASNUPP-4,32.391944,71.461667,Pakistan,PK,Operational,PWR,CNP-300,12-18-11,09-19-17,,313,06-07-21,IAEA,1045
135,Chernobyl-1,51.389000,30.103000,Ukraine,UA,Shutdown,LWGR,RBMK,03-01-70,05-27-78,11-30-96,925,5/24/15 7:51,WNA/IAEA,568
